,sal,rooz,Month,zarrineh_Debi
5410,1369,17,7,4.21
5411,1369,18,7,4.28
5412,1369,19,7,4.35
5413,1369,20,7,4.42
5414,1369,21,7,4.5
5415,1369,22,7,4.57
5416,1369,23,7,4.65
5417,1369,24,7,4.72
5418,1369,25,7,4.79
5419,1369,26,7,4.86
5420,1369,27,7,4.93
5421,1369,28,7,5.05
5422,1369,29,7,5.12
5423,1369,30,7,5.24
5424,1369,31,7,
6293,1369,1,8,5.31
6294,1369,2,8,5.38
6295,1369,3,8,5.44
6296,1369,4,8,5.47
6297,1369,5,8,5.5
6298,1369,6,8,5.53
6299,1369,7,8,5.57
6300,1369,8,8,5.6
6301,1369,9,8,5.63
6302,1369,10,8,5.66
6303,1369,11,8,5.69
6304,1369,12,8,5.72
6305,1369,13,8,5.75
6306,1369,14,8,5.78
6307,1369,15,8,5.81
6308,1369,16,8,5.84
6309,1369,17,8,5.87
6310,1369,18,8,5.9
6311,1369,19,8,5.93
6312,1369,20,8,5.96
6313,1369,21,8,5.99
6314,1369,22,8,6.02
6315,1369,23,8,6.05
6316,1369,24,8,6.08
6317,1369,25,8,6.11
6318,1369,26,8,6.14
6319,1369,27,8,6.19
6320,1369,28,8,6.24
6321,1369,29,8,6.3
6322,1369,30,8,6.35
6323,1369,31,8,
7192,1369,1,9,6.39
7193,1369,2,9,6.44
7194,1369,3,9,6.48
7195,1369,4,9,6.52
7196,1369,5,9,6.56
7197,1369,6,9,6.6
7198,1369,7,9,6.53
7199,1369,8,9,6.46
7200,1369,9,9,6.39
7201,1369,10,9,6.32
7202,1369,11,9,6.25
7203,1369,12,9,6.18
7204,1369,13,9,6.11
7205,1369,14,9,6.04
7206,1369,15,9,5.97
7207,1369,16,9,5.9
7208,1369,17,9,5.83
7209,1369,18,9,5.76
7210,1369,19,9,5.69
7211,1369,20,9,5.62
7212,1369,21,9,5.55
7213,1369,22,9,5.48
7214,1369,23,9,5.41
7215,1369,24,9,5.34
7216,1369,25,9,5.27
7217,1369,26,9,5.2
7218,1369,27,9,5.13
7219,1369,28,9,5.06
7220,1369,29,9,4.99
7221,1369,30,9,4.92
7222,1369,31,9,
8091,1369,1,10,4.85
8092,1369,2,10,4.78
8093,1369,3,10,4.71
8094,1369,4,10,4.64
8095,1369,5,10,4.57
8096,1369,6,10,4.5
8097,1369,7,10,4.42
8098,1369,8,10,4.36
8099,1369,9,10,4.29
8100,1369,10,10,4.22
8101,1369,11,10,4.15
8102,1369,12,10,4.08
8103,1369,13,10,4.01
8104,1369,14,10,3.94
8105,1369,15,10,3.86
8106,1369,16,10,3.79
8107,1369,17,10,3.72
8108,1369,18,10,3.65
8109,1369,19,10,3.58
8110,1369,20,10,3.51
8111,1369,21,10,3.43
8112,1369,22,10,3.35
8113,1369,23,10,3.28
8114,1369,24,10,3.21
8115,1369,25,10,3.14
8116,1369,26,10,3.07
8117,1369,27,10,3.03
8118,1369,28,10,3.56
8119,1369,29,10,4.09
8120,1369,30,10,4.62
8121,1369,31,10,
8990,1369,1,11,5.68
8991,1369,2,11,6.21
8992,1369,3,11,6.74
8993,1369,4,11,7.27
8994,1369,5,11,7.8
8995,1369,6,11,8.33
8996,1369,7,11,8.86
8997,1369,8,11,9.35
8998,1369,9,11,9.92
8999,1369,10,11,10.45
9000,1369,11,11,10.98
9001,1369,12,11,11.51
9002,1369,13,11,12.04
9003,1369,14,11,12.57
9004,1369,15,11,13.1
9005,1369,16,11,13.63
9006,1369,17,11,14.16
9007,1369,18,11,14.69
9008,1369,19,11,15.22
9009,1369,20,11,15.75
9010,1369,21,11,16.28
9011,1369,22,11,16.81
9012,1369,23,11,17.34
9013,1369,24,11,17.87
9014,1369,25,11,18.4
9015,1369,26,11,18.93
9016,1369,27,11,19.46
9017,1369,28,11,19.99
9018,1369,29,11,20.52
9019,1369,30,11,21.05
9020,1369,31,11,
9889,1369,1,12,21.58
9890,1369,2,12,22.11
9891,1369,3,12,22.64
9892,1369,4,12,23.17
9893,1369,5,12,23.6
9894,1369,6,12,24.13
9895,1369,7,12,24.53
9896,1369,8,12,24.6
9897,1369,9,12,31.0
9898,1369,10,12,29.6
9899,1369,11,12,30.05
9900,1369,12,12,31.7
9901,1369,13,12,31.0
9902,1369,14,12,30.05
9903,1369,15,12,31.0
9904,1369,16,12,27.35
9905,1369,17,12,25.3
9906,1369,18,12,24.6
9907,1369,19,12,26.0
9908,1369,20,12,25.3
9909,1369,21,12,23.9
9910,1369,22,12,26.0
9911,1369,23,12,26.45
9912,1369,24,12,30.05
9913,1369,25,12,32.4
9914,1369,26,12,32.4
9915,1369,27,12,32.4
9916,1369,28,12,33.8
9917,1369,29,12,38.7
9918,1369,30,12,
9919,1369,31,12,
31,1370,1,1,90.0
32,1370,2,1,102.0
33,1370,3,1,106.5
34,1370,4,1,106.5
35,1370,5,1,103.5
36,1370,6,1,102.0
37,1370,7,1,102.0
38,1370,8,1,105.0
39,1370,9,1,108.0
40,1370,10,1,117.0
41,1370,11,1,130.5
42,1370,12,1,136.5
43,1370,13,1,139.5
44,1370,14,1,142.5
45,1370,15,1,145.5
46,1370,16,1,148.5
47,1370,17,1,153.0
48,1370,18,1,150.0
49,1370,19,1,153.0
50,1370,20,1,166.5
51,1370,21,1,180.0
52,1370,22,1,192.0
53,1370,23,1,198.0
54,1370,24,1,194.125
55,1370,25,1,222.87
56,1370,26,1,316.5
57,1370,27,1,454.75
58,1370,28,1,638.42
59,1370,29,1,656.0
60,1370,30,1,668.0
61,1370,31,1,6.15
930,1370,1,2,555.0
931,1370,2,2,540.0
932,1370,3,2,691.33
933,1370,4,2,812.0
934,1370,5,2,800.0
935,1370,6,2,644.0
936,1370,7,2,576.0
937,1370,8,2,534.0
938,1370,9,2,492.0
939,1370,10,2,486.0
940,1370,11,2,486.0
941,1370,12,2,471.0
942,1370,13,2,442.5
943,1370,14,2,410.0
944,1370,15,2,387.5
945,1370,16,2,367.5
946,1370,17,2,360.0
947,1370,18,2,372.5
948,1370,19,2,424.25
949,1370,20,2,509.42
950,1370,21,2,643.17
951,1370,22,2,792.33
952,1370,23,2,820.6
953,1370,24,2,744.0
954,1370,25,2,648.0
955,1370,26,2,572.0
956,1370,27,2,544.0
957,1370,28,2,610.0
958,1370,29,2,624.0
959,1370,30,2,540.0
960,1370,31,2,492.0
1829,1370,1,3,447.5
1830,1370,2,3,380.0
1831,1370,3,3,360.0
1832,1370,4,3,342.5
1833,1370,5,3,320.0
1834,1370,6,3,300.0
1835,1370,7,3,273.0
1836,1370,8,3,265.0
1837,1370,9,3,261.0
1838,1370,10,3,247.0
1839,1370,11,3,239.0
1840,1370,12,3,229.0
1841,1370,13,3,223.0
1842,1370,14,3,211.0
1843,1370,15,3,197.0
1844,1370,16,3,177.0
1845,1370,17,3,164.5
1846,1370,18,3,154.0
1847,1370,19,3,143.5
1848,1370,20,3,125.5
1849,1370,21,3,115.0
1850,1370,22,3,109.0
1851,1370,23,3,100.0
1852,1370,24,3,90.4
1853,1370,25,3,70.0
1854,1370,26,3,60.0
1855,1370,27,3,56.0
1856,1370,28,3,50.0
1857,1370,29,3,41.2
1858,1370,30,3,35.9
1859,1370,31,3,31.7
2728,1370,1,4,25.6
2729,1370,2,4,21.15
2730,1370,3,4,18.5
2731,1370,4,4,20.05
2732,1370,5,4,21.7
2733,1370,6,4,15.0
2734,1370,7,4,13.3
2735,1370,8,4,12.1
2736,1370,9,4,9.84
2737,1370,10,4,9.18
2738,1370,11,4,7.53
2739,1370,12,4,6.36
2740,1370,13,4,6.64
2741,1370,14,4,4.2
2742,1370,15,4,4.0
2743,1370,16,4,3.8
2744,1370,17,4,3.4
2745,1370,18,4,3.4
2746,1370,19,4,3.4
2747,1370,20,4,5.24
2748,1370,21,4,10.5
2749,1370,22,4,10.17
2750,1370,23,4,8.19
2751,1370,24,4,6.92
2752,1370,25,4,7.2
2753,1370,26,4,6.92
2754,1370,27,4,7.53
2755,1370,28,4,7.53
2756,1370,29,4,9.84
2757,1370,30,4,10.9
2758,1370,31,4,10.9
3627,1370,1,5,11.3
3628,1370,2,5,10.9
3629,1370,3,5,11.3
3630,1370,4,5,10.9
3631,1370,5,5,10.5
3632,1370,6,5,8.52
3633,1370,7,5,9.18
3634,1370,8,5,10.5
3635,1370,9,5,10.5
3636,1370,10,5,10.5
3637,1370,11,5,10.5
3638,1370,12,5,10.5
3639,1370,13,5,10.9
3640,1370,14,5,11.3
3641,1370,15,5,10.9
3642,1370,16,5,10.9
3643,1370,17,5,11.3
3644,1370,18,5,10.5
3645,1370,19,5,11.3
3646,1370,20,5,12.1
3647,1370,21,5,12.1
3648,1370,22,5,11.7
3649,1370,23,5,10.9
3650,1370,24,5,10.17
3651,1370,25,5,8.85
3652,1370,26,5,9.51
3653,1370,27,5,10.17
3654,1370,28,5,9.84
3655,1370,29,5,7.53
3656,1370,30,5,6.92
3657,1370,31,5,12.1
4526,1370,1,6,5.8
4527,1370,2,6,6.36
