,sal,rooz,Month,zarrineh_Debi
2917,1376,4,4,6.98
2918,1376,5,4,6.88
2919,1376,6,4,6.78
2920,1376,7,4,6.67
2921,1376,8,4,6.57
2922,1376,9,4,6.46
2923,1376,10,4,6.36
2924,1376,11,4,6.26
2925,1376,12,4,6.15
2926,1376,13,4,6.05
2927,1376,14,4,5.94
2928,1376,15,4,5.84
2929,1376,16,4,5.74
2930,1376,17,4,5.63
2931,1376,18,4,5.53
2932,1376,19,4,5.42
2933,1376,20,4,5.32
2934,1376,21,4,5.22
2935,1376,22,4,5.11
2936,1376,23,4,5.01
2937,1376,24,4,4.9
2938,1376,25,4,4.8
2939,1376,26,4,4.7
2940,1376,27,4,4.59
2941,1376,28,4,4.49
2942,1376,29,4,4.38
2943,1376,30,4,4.28
2944,1376,31,4,4.34
3813,1376,1,5,4.38
3814,1376,2,5,4.42
3815,1376,3,5,4.46
3816,1376,4,5,4.51
3817,1376,5,5,4.55
3818,1376,6,5,4.59
3819,1376,7,5,4.64
3820,1376,8,5,4.68
3821,1376,9,5,4.72
3822,1376,10,5,4.77
3823,1376,11,5,4.81
3824,1376,12,5,4.85
3825,1376,13,5,4.89
3826,1376,14,5,4.94
3827,1376,15,5,4.98
3828,1376,16,5,5.02
3829,1376,17,5,5.07
3830,1376,18,5,5.11
3831,1376,19,5,5.15
3832,1376,20,5,5.2
3833,1376,21,5,5.24
3834,1376,22,5,5.28
3835,1376,23,5,5.32
3836,1376,24,5,5.37
3837,1376,25,5,5.41
3838,1376,26,5,5.45
3839,1376,27,5,5.5
3840,1376,28,5,5.54
3841,1376,29,5,5.48
3842,1376,30,5,5.43
3843,1376,31,5,5.37
4712,1376,1,6,5.31
4713,1376,2,6,5.26
4714,1376,3,6,5.2
4715,1376,4,6,5.14
4716,1376,5,6,5.09
4717,1376,6,6,5.03
4718,1376,7,6,4.97
4719,1376,8,6,4.92
4720,1376,9,6,4.86
4721,1376,10,6,4.8
4722,1376,11,6,4.75
4723,1376,12,6,4.69
4724,1376,13,6,4.64
4725,1376,14,6,4.58
4726,1376,15,6,4.52
4727,1376,16,6,4.47
4728,1376,17,6,4.41
4729,1376,18,6,4.45
4730,1376,19,6,4.49
4731,1376,20,6,4.52
4732,1376,21,6,4.56
4733,1376,22,6,4.6
4734,1376,23,6,4.64
4735,1376,24,6,4.68
4736,1376,25,6,4.71
4737,1376,26,6,4.75
4738,1376,27,6,4.79
4739,1376,28,6,4.83
4740,1376,29,6,4.87
4741,1376,30,6,4.9
4742,1376,31,6,4.94
5611,1376,1,7,4.85
5612,1376,2,7,4.88
5613,1376,3,7,4.91
5614,1376,4,7,4.94
5615,1376,5,7,4.97
5616,1376,6,7,5.01
5617,1376,7,7,5.04
5618,1376,8,7,5.07
5619,1376,9,7,5.1
5620,1376,10,7,5.13
5621,1376,11,7,5.17
5622,1376,12,7,5.2
5623,1376,13,7,5.23
5624,1376,14,7,5.26
5625,1376,15,7,5.29
5626,1376,16,7,5.33
5627,1376,17,7,5.36
5628,1376,18,7,5.39
5629,1376,19,7,5.42
5630,1376,20,7,5.45
5631,1376,21,7,5.49
5632,1376,22,7,5.52
5633,1376,23,7,5.55
5634,1376,24,7,5.61
5635,1376,25,7,5.67
5636,1376,26,7,5.73
5637,1376,27,7,5.79
5638,1376,28,7,5.84
5639,1376,29,7,5.9
5640,1376,30,7,5.96
5641,1376,31,7,
6510,1376,1,8,6.02
6511,1376,2,8,6.08
6512,1376,3,8,6.14
6513,1376,4,8,6.2
6514,1376,5,8,6.26
6515,1376,6,8,6.32
6516,1376,7,8,6.38
6517,1376,8,8,6.43
6518,1376,9,8,6.49
6519,1376,10,8,6.55
6520,1376,11,8,6.61
6521,1376,12,8,6.68
6522,1376,13,8,25.37
6523,1376,14,8,50.92
6524,1376,15,8,30.6
6525,1376,16,8,21.25
6526,1376,17,8,13.6
6527,1376,18,8,7.76
6528,1376,19,8,6.68
6529,1376,20,8,8.84
6530,1376,21,8,9.92
6531,1376,22,8,19.0
6532,1376,23,8,16.2
6533,1376,24,8,12.3
6534,1376,25,8,10.46
6535,1376,26,8,10.46
6536,1376,27,8,9.2
6537,1376,28,8,9.38
6538,1376,29,8,8.84
6539,1376,30,8,8.3
6540,1376,31,8,
7409,1376,1,9,8.3
7410,1376,2,9,7.76
7411,1376,3,9,8.84
7412,1376,4,9,7.76
7413,1376,5,9,7.76
7414,1376,6,9,8.3
7415,1376,7,9,8.3
7416,1376,8,9,8.84
7417,1376,9,9,8.3
7418,1376,10,9,9.38
7419,1376,11,9,8.84
7420,1376,12,9,9.38
7421,1376,13,9,9.92
7422,1376,14,9,9.92
7423,1376,15,9,9.92
7424,1376,16,9,10.46
7425,1376,17,9,10.46
7426,1376,18,9,11.0
7427,1376,19,9,11.65
7428,1376,20,9,13.6
7429,1376,21,9,12.95
7430,1376,22,9,14.25
7431,1376,23,9,14.9
7432,1376,24,9,14.9
7433,1376,25,9,16.2
7434,1376,26,9,16.2
7435,1376,27,9,18.25
7436,1376,28,9,20.5
7437,1376,29,9,22.0
7438,1376,30,9,29.8
7439,1376,31,9,
8308,1376,1,10,29.0
8309,1376,2,10,30.6
8310,1376,3,10,32.2
8311,1376,4,10,32.2
8312,1376,5,10,32.2
8313,1376,6,10,33.0
8314,1376,7,10,32.2
8315,1376,8,10,31.4
8316,1376,9,10,31.4
8317,1376,10,10,30.6
8318,1376,11,10,29.8
8319,1376,12,10,29.0
8320,1376,13,10,29.0
8321,1376,14,10,27.4
8322,1376,15,10,28.2
8323,1376,16,10,29.0
8324,1376,17,10,27.4
8325,1376,18,10,28.2
8326,1376,19,10,36.35
8327,1376,20,10,46.0
8328,1376,21,10,47.0
8329,1376,22,10,48.0
8330,1376,23,10,49.0
8331,1376,24,10,52.0
8332,1376,25,10,53.0
8333,1376,26,10,53.0
8334,1376,27,10,53.0
8335,1376,28,10,51.0
8336,1376,29,10,53.0
8337,1376,30,10,54.0
8338,1376,31,10,
9207,1376,1,11,34.8
9208,1376,2,11,29.0
9209,1376,3,11,27.4
9210,1376,4,11,33.9
9211,1376,5,11,36.6
9212,1376,6,11,38.4
9213,1376,7,11,39.3
9214,1376,8,11,36.6
9215,1376,9,11,35.7
9216,1376,10,11,37.5
9217,1376,11,11,39.3
9218,1376,12,11,41.1
9219,1376,13,11,41.1
9220,1376,14,11,48.0
9221,1376,15,11,41.1
9222,1376,16,11,52.0
9223,1376,17,11,57.0
9224,1376,18,11,54.0
9225,1376,19,11,62.0
9226,1376,20,11,79.0
9227,1376,21,11,86.2
9228,1376,22,11,86.2
9229,1376,23,11,93.4
9230,1376,24,11,102.2
9231,1376,25,11,110.0
9232,1376,26,11,104.8
9233,1376,27,11,107.4
9234,1376,28,11,103.5
9235,1376,29,11,104.8
9236,1376,30,11,102.2
9237,1376,31,11,
10106,1376,1,12,104.8
10107,1376,2,12,102.2
10108,1376,3,12,102.2
10109,1376,4,12,99.6
10110,1376,5,12,102.2
10111,1376,6,12,100.9
10112,1376,7,12,94.6
10113,1376,8,12,99.6
10114,1376,9,12,102.2
10115,1376,10,12,98.3
10116,1376,11,12,100.9
10117,1376,12,12,97.0
10118,1376,13,12,97.0
10119,1376,14,12,94.6
10120,1376,15,12,92.2
10121,1376,16,12,77.8
10122,1376,17,12,77.8
10123,1376,18,12,77.8
10124,1376,19,12,88.2
10125,1376,20,12,91.0
10126,1376,21,12,93.4
10127,1376,22,12,98.3
10128,1376,23,12,102.2
10129,1376,24,12,106.1
10130,1376,25,12,106.1
10131,1376,26,12,135.7
10132,1376,27,12,209.35
10133,1376,28,12,187.4
10134,1376,29,12,162.0
10135,1376,30,12,
10136,1376,31,12,
248,1377,1,1,6.4
249,1377,2,1,7.0
250,1377,3,1,7.0
251,1377,4,1,5.8
252,1377,5,1,6.4
253,1377,6,1,6.4
254,1377,7,1,5.8
255,1377,8,1,5.8
256,1377,9,1,6.4
257,1377,10,1,7.0
258,1377,11,1,7.0
259,1377,12,1,7.6
260,1377,13,1,7.6
261,1377,14,1,9.36
262,1377,15,1,8.2
263,1377,16,1,8.2
264,1377,17,1,7.6
265,1377,18,1,8.2
266,1377,19,1,8.2
267,1377,20,1,7.0
268,1377,21,1,7.0
269,1377,22,1,6.4
270,1377,23,1,6.4
271,1377,24,1,6.4
272,1377,25,1,7.0
273,1377,26,1,6.4
274,1377,27,1,5.2
275,1377,28,1,5.2
276,1377,29,1,5.2
277,1377,30,1,2.2
278,1377,31,1,1.34
1147,1377,1,2,0.77
1148,1377,2,2,1.06
1149,1377,3,2,0.49
1150,1377,4,2,0.2
1151,1377,5,2,0.2
1152,1377,6,2,0.2
1153,1377,7,2,0.2
1154,1377,8,2,0.2
1155,1377,9,2,0.2
1156,1377,10,2,0.2
1157,1377,11,2,0.77
1158,1377,12,2,0.77
1159,1377,13,2,0.77
1160,1377,14,2,0.77
1161,1377,15,2,1.92
1162,1377,16,2,2.8
1163,1377,17,2,4.0
1164,1377,18,2,5.2
1165,1377,19,2,5.2
1166,1377,20,2,5.8
1167,1377,21,2,5.2
1168,1377,22,2,5.8
1169,1377,23,2,5.8
1170,1377,24,2,5.8
1171,1377,25,2,5.8
1172,1377,26,2,8.2
1173,1377,27,2,8.2
1174,1377,28,2,4.6
1175,1377,29,2,5.8
1176,1377,30,2,5.2
1177,1377,31,2,4.6
2046,1377,1,3,4.6
2047,1377,2,3,4.6
2048,1377,3,3,4.6
2049,1377,4,3,4.0
2050,1377,5,3,4.6
2051,1377,6,3,4.0
2052,1377,7,3,4.6
2053,1377,8,3,4.6
2054,1377,9,3,4.6
2055,1377,10,3,2.8
2056,1377,11,3,2.8
2057,1377,12,3,3.4
2058,1377,13,3,4.0
2059,1377,14,3,5.2
2060,1377,15,3,6.4
2061,1377,16,3,7.0
2062,1377,17,3,7.6
2063,1377,18,3,9.36
2064,1377,19,3,7.0
2065,1377,20,3,5.8
2066,1377,21,3,5.2
2067,1377,22,3,5.2
2068,1377,23,3,3.4
2069,1377,24,3,3.4
2070,1377,25,3,3.4
2071,1377,26,3,3.4
2072,1377,27,3,3.4
2073,1377,28,3,2.8
2074,1377,29,3,2.2
2075,1377,30,3,2.8
2076,1377,31,3,2.2
2945,1377,1,4,2.2
2946,1377,2,4,1.92
2947,1377,3,4,2.2
2948,1377,4,4,1.63
2949,1377,5,4,1.63
2950,1377,6,4,1.63
2951,1377,7,4,1.34
2952,1377,8,4,1.34
2953,1377,9,4,5.7
2954,1377,10,4,6.4
2955,1377,11,4,7.0
2956,1377,12,4,8.2
2957,1377,13,4,9.36
2958,1377,14,4,10.52
2959,1377,15,4,9.36
2960,1377,16,4,7.0
2961,1377,17,4,4.6
2962,1377,18,4,7.0
2963,1377,19,4,7.0
2964,1377,20,4,7.0
2965,1377,21,4,4.6
2966,1377,22,4,3.4
2967,1377,23,4,2.8
2968,1377,24,4,2.2
2969,1377,25,4,1.92
2970,1377,26,4,1.92
2971,1377,27,4,15.35
2972,1377,28,4,14.0
2973,1377,29,4,10.52
2974,1377,30,4,6.4
2975,1377,31,4,7.6
3844,1377,1,5,9.36
3845,1377,2,5,12.84
3846,1377,3,5,16.32
3847,1377,4,5,15.16
3848,1377,5,5,11.68
3849,1377,6,5,9.36
3850,1377,7,5,7.6
3851,1377,8,5,7.0
3852,1377,9,5,8.2
3853,1377,10,5,9.36
3854,1377,11,5,8.2
3855,1377,12,5,5.8
3856,1377,13,5,4.6
3857,1377,14,5,4.0
3858,1377,15,5,4.6
3859,1377,16,5,15.16
3860,1377,17,5,15.16
3861,1377,18,5,10.52
3862,1377,19,5,4.6
3863,1377,20,5,2.2
3864,1377,21,5,2.2
3865,1377,22,5,2.2
3866,1377,23,5,2.2
3867,1377,24,5,2.2
3868,1377,25,5,2.2
3869,1377,26,5,2.8
3870,1377,27,5,2.7
3871,1377,28,5,2.6
3872,1377,29,5,2.6
3873,1377,30,5,2.5
3874,1377,31,5,2.4
4743,1377,1,6,2.34
4744,1377,2,6,2.27
4745,1377,3,6,2.19
4746,1377,4,6,2.12
4747,1377,5,6,2.04
4748,1377,6,6,1.96
4749,1377,7,6,1.89
4750,1377,8,6,1.81
4751,1377,9,6,1.74
4752,1377,10,6,1.66
4753,1377,11,6,1.58
4754,1377,12,6,1.51
4755,1377,13,6,1.43
4756,1377,14,6,1.36
4757,1377,15,6,1.2
4758,1377,16,6,1.22
4759,1377,17,6,1.23
4760,1377,18,6,1.25
4761,1377,19,6,1.26
4762,1377,20,6,1.28
4763,1377,21,6,1.3
4764,1377,22,6,1.31
4765,1377,23,6,1.33
4766,1377,24,6,1.34
4767,1377,25,6,1.36
4768,1377,26,6,1.38
4769,1377,27,6,1.39
4770,1377,28,6,1.41
4771,1377,29,6,1.42
4772,1377,30,6,1.44
4773,1377,31,6,1.42
5642,1377,1,7,5.8
5643,1377,2,7,5.8
5644,1377,3,7,6.4
5645,1377,4,7,6.4
5646,1377,5,7,6.4
5647,1377,6,7,5.8
5648,1377,7,7,5.8
5649,1377,8,7,6.4
5650,1377,9,7,6.4
5651,1377,10,7,5.8
5652,1377,11,7,6.4
5653,1377,12,7,6.4
5654,1377,13,7,6.4
5655,1377,14,7,6.4
5656,1377,15,7,6.4
5657,1377,16,7,6.4
5658,1377,17,7,5.8
5659,1377,18,7,5.8
5660,1377,19,7,6.4
5661,1377,20,7,6.4
5662,1377,21,7,6.4
5663,1377,22,7,6.4
5664,1377,23,7,6.4
5665,1377,24,7,5.8
5666,1377,25,7,6.4
5667,1377,26,7,5.8
5668,1377,27,7,5.8
5669,1377,28,7,6.4
5670,1377,29,7,5.8
5671,1377,30,7,5.8
5672,1377,31,7,
6541,1377,1,8,5.8
6542,1377,2,8,5.8
6543,1377,3,8,5.8
6544,1377,4,8,5.8
6545,1377,5,8,5.8
6546,1377,6,8,5.8
6547,1377,7,8,5.8
6548,1377,8,8,5.8
6549,1377,9,8,7.0
6550,1377,10,8,6.4
6551,1377,11,8,6.4
6552,1377,12,8,7.0
6553,1377,13,8,6.4
6554,1377,14,8,6.4
6555,1377,15,8,6.4
6556,1377,16,8,7.0
6557,1377,17,8,7.0
6558,1377,18,8,7.0
6559,1377,19,8,7.0
6560,1377,20,8,15.16
6561,1377,21,8,35.97
6562,1377,22,8,44.01
6563,1377,23,8,39.6
6564,1377,24,8,33.88
6565,1377,25,8,30.36
6566,1377,26,8,26.84
6567,1377,27,8,23.32
6568,1377,28,8,19.8
6569,1377,29,8,18.64
6570,1377,30,8,17.48
6571,1377,31,8,
7440,1377,1,9,17.48
7441,1377,2,9,18.64
7442,1377,3,9,16.32
7443,1377,4,9,14.0
7444,1377,5,9,11.68
7445,1377,6,9,10.52
7446,1377,7,9,9.36
7447,1377,8,9,11.68
7448,1377,9,9,10.52
7449,1377,10,9,11.68
7450,1377,11,9,12.84
7451,1377,12,9,14.0
7452,1377,13,9,15.16
7453,1377,14,9,15.16
7454,1377,15,9,15.16
7455,1377,16,9,12.84
7456,1377,17,9,12.84
7457,1377,18,9,14.0
7458,1377,19,9,15.16
7459,1377,20,9,15.16
7460,1377,21,9,12.84
7461,1377,22,9,12.84
7462,1377,23,9,12.84
7463,1377,24,9,12.84
7464,1377,25,9,11.68
7465,1377,26,9,11.68
7466,1377,27,9,10.52
7467,1377,28,9,10.52
7468,1377,29,9,10.52
7469,1377,30,9,10.52
7470,1377,31,9,
8339,1377,1,10,10.52
8340,1377,2,10,11.68
8341,1377,3,10,10.52
8342,1377,4,10,10.52
8343,1377,5,10,10.52
8344,1377,6,10,11.68
8345,1377,7,10,9.36
8346,1377,8,10,9.36
8347,1377,9,10,10.52
8348,1377,10,10,9.36
8349,1377,11,10,9.36
8350,1377,12,10,9.36
8351,1377,13,10,9.36
8352,1377,14,10,9.36
8353,1377,15,10,10.52
8354,1377,16,10,10.52
8355,1377,17,10,10.52
8356,1377,18,10,10.52
8357,1377,19,10,12.84
8358,1377,20,10,12.84
8359,1377,21,10,12.84
8360,1377,22,10,12.84
8361,1377,23,10,11.68
8362,1377,24,10,11.68
8363,1377,25,10,14.0
8364,1377,26,10,14.0
8365,1377,27,10,14.0
8366,1377,28,10,14.0
8367,1377,29,10,16.32
8368,1377,30,10,15.16
8369,1377,31,10,
9238,1377,1,11,14.0
9239,1377,2,11,15.16
9240,1377,3,11,15.16
9241,1377,4,11,15.16
9242,1377,5,11,15.16
9243,1377,6,11,16.32
9244,1377,7,11,16.32
9245,1377,8,11,15.16
9246,1377,9,11,16.32
9247,1377,10,11,14.0
9248,1377,11,11,14.0
9249,1377,12,11,14.0
9250,1377,13,11,14.0
9251,1377,14,11,14.0
9252,1377,15,11,25.08
9253,1377,16,11,12.84
9254,1377,17,11,12.84
9255,1377,18,11,11.68
9256,1377,19,11,10.52
9257,1377,20,11,10.52
9258,1377,21,11,11.68
9259,1377,22,11,12.84
9260,1377,23,11,12.84
9261,1377,24,11,12.84
9262,1377,25,11,12.84
9263,1377,26,11,15.16
9264,1377,27,11,15.16
9265,1377,28,11,11.68
9266,1377,29,11,12.84
9267,1377,30,11,9.36
9268,1377,31,11,
10137,1377,1,12,10.52
10138,1377,2,12,9.36
10139,1377,3,12,8.2
10140,1377,4,12,10.52
10141,1377,5,12,10.52
10142,1377,6,12,10.52
10143,1377,7,12,9.36
10144,1377,8,12,7.6
10145,1377,9,12,9.36
10146,1377,10,12,9.36
10147,1377,11,12,9.36
10148,1377,12,12,9.36
10149,1377,13,12,9.36
10150,1377,14,12,8.2
10151,1377,15,12,9.36
10152,1377,16,12,7.6
10153,1377,17,12,7.6
10154,1377,18,12,7.6
10155,1377,19,12,7.6
10156,1377,20,12,8.2
10157,1377,21,12,8.2
10158,1377,22,12,7.6
10159,1377,23,12,7.0
10160,1377,24,12,7.0
10161,1377,25,12,6.4
10162,1377,26,12,7.0
10163,1377,27,12,5.8
10164,1377,28,12,6.4
10165,1377,29,12,7.0
10166,1377,30,12,
10167,1377,31,12,
279,1378,1,1,2.29
280,1378,2,1,2.3
281,1378,3,1,2.3
282,1378,4,1,2.31
283,1378,5,1,2.32
284,1378,6,1,53.6
285,1378,7,1,26.6
286,1378,8,1,24.2
287,1378,9,1,19.48
288,1378,10,1,14.48
289,1378,11,1,19.48
290,1378,12,1,12.92
291,1378,13,1,11.88
292,1378,14,1,11.88
293,1378,15,1,10.84
294,1378,16,1,9.8
295,1378,17,1,9.8
296,1378,18,1,8.88
297,1378,19,1,10.84
298,1378,20,1,12.92
299,1378,21,1,15.0
300,1378,22,1,10.84
301,1378,23,1,10.84
302,1378,24,1,9.8
303,1378,25,1,11.88
304,1378,26,1,12.92
305,1378,27,1,13.96
306,1378,28,1,15.56
307,1378,29,1,13.44
308,1378,30,1,12.4
309,1378,31,1,11.88
1178,1378,1,2,10.84
1179,1378,2,2,11.88
1180,1378,3,2,10.84
1181,1378,4,2,9.8
1182,1378,5,2,9.8
1183,1378,6,2,7.96
1184,1378,7,2,7.96
1185,1378,8,2,8.88
1186,1378,9,2,7.96
1187,1378,10,2,12.92
1188,1378,11,2,21.19
1189,1378,12,2,26.0
1190,1378,13,2,27.44
1191,1378,14,2,26.6
1192,1378,15,2,24.8
1193,1378,16,2,23.6
1194,1378,17,2,25.4
1195,1378,18,2,20.04
1196,1378,19,2,13.96
1197,1378,20,2,10.32
1198,1378,21,2,7.5
1199,1378,22,2,3.4
1200,1378,23,2,1.6
1201,1378,24,2,1.6
1202,1378,25,2,1.6
1203,1378,26,2,1.6
1204,1378,27,2,1.6
1205,1378,28,2,1.6
1206,1378,29,2,1.6
1207,1378,30,2,3.04
1208,1378,31,2,4.84
2077,1378,1,3,4.84
2078,1378,2,3,4.84
2079,1378,3,3,4.84
2080,1378,4,3,4.84
2081,1378,5,3,5.66
2082,1378,6,3,1.96
2083,1378,7,3,2.68
2084,1378,8,3,2.68
2085,1378,9,3,3.4
2086,1378,10,3,4.12
2087,1378,11,3,4.12
2088,1378,12,3,4.12
2089,1378,13,3,3.4
2090,1378,14,3,1.96
2091,1378,15,3,1.6
2092,1378,16,3,1.6
2093,1378,17,3,1.6
2094,1378,18,3,1.6
2095,1378,19,3,1.6
2096,1378,20,3,1.96
2097,1378,21,3,3.4
2098,1378,22,3,4.12
2099,1378,23,3,6.58
2100,1378,24,3,10.32
2101,1378,25,3,13.44
2102,1378,26,3,8.42
2103,1378,27,3,8.88
2104,1378,28,3,11.36
2105,1378,29,3,6.12
2106,1378,30,3,4.84
2107,1378,31,3,1.6
2976,1378,1,4,3.76
2977,1378,2,4,5.2
2978,1378,3,4,3.04
2979,1378,4,4,1.6
2980,1378,5,4,1.6
2981,1378,6,4,1.6
2982,1378,7,4,1.6
2983,1378,8,4,1.6
2984,1378,9,4,1.6
2985,1378,10,4,1.6
2986,1378,11,4,4.12
2987,1378,12,4,1.6
2988,1378,13,4,1.6
2989,1378,14,4,5.98
2990,1378,15,4,5.2
2991,1378,16,4,5.2
2992,1378,17,4,1.6
2993,1378,18,4,1.6
2994,1378,19,4,1.6
2995,1378,20,4,6.25
2996,1378,21,4,7.5
2997,1378,22,4,9.34
2998,1378,23,4,8.88
2999,1378,24,4,8.88
3000,1378,25,4,2.68
3001,1378,26,4,2.32
3002,1378,27,4,1.6
3003,1378,28,4,1.6
3004,1378,29,4,1.6
3005,1378,30,4,1.6
3006,1378,31,4,1.6
3875,1378,1,5,1.6
3876,1378,2,5,1.6
3877,1378,3,5,1.6
3878,1378,4,5,5.42
3879,1378,5,5,12.0
3880,1378,6,5,3.4
3881,1378,7,5,1.6
3882,1378,8,5,1.6
3883,1378,9,5,1.6
3884,1378,10,5,1.6
3885,1378,11,5,1.6
3886,1378,12,5,1.6
3887,1378,13,5,1.6
3888,1378,14,5,3.98
3889,1378,15,5,6.12
3890,1378,16,5,5.2
3891,1378,17,5,3.76
3892,1378,18,5,1.96
3893,1378,19,5,1.6
3894,1378,20,5,1.6
3895,1378,21,5,1.6
3896,1378,22,5,1.6
3897,1378,23,5,1.6
3898,1378,24,5,3.04
3899,1378,25,5,16.84
3900,1378,26,5,19.48
3901,1378,27,5,13.96
3902,1378,28,5,5.2
3903,1378,29,5,1.56
3904,1378,30,5,1.56
3905,1378,31,5,1.56
4774,1378,1,6,1.56
4775,1378,2,6,1.57
4776,1378,3,6,1.57
4777,1378,4,6,1.57
4778,1378,5,6,1.57
4779,1378,6,6,1.57
4780,1378,7,6,1.57
4781,1378,8,6,1.58
4782,1378,9,6,1.58
4783,1378,10,6,1.58
4784,1378,11,6,1.58
4785,1378,12,6,1.58
4786,1378,13,6,1.58
4787,1378,14,6,1.58
4788,1378,15,6,1.59
4789,1378,16,6,1.59
4790,1378,17,6,1.59
4791,1378,18,6,1.59
4792,1378,19,6,1.59
4793,1378,20,6,1.59
4794,1378,21,6,1.59
4795,1378,22,6,1.6
4796,1378,23,6,1.6
4797,1378,24,6,1.6
4798,1378,25,6,1.61
4799,1378,26,6,1.62
4800,1378,27,6,1.63
4801,1378,28,6,1.64
4802,1378,29,6,1.65
4803,1378,30,6,1.66
4804,1378,31,6,1.67
5673,1378,1,7,1.48
5674,1378,2,7,1.5
5675,1378,3,7,1.51
5676,1378,4,7,1.53
5677,1378,5,7,1.55
5678,1378,6,7,1.56
5679,1378,7,7,1.58
5680,1378,8,7,1.6
5681,1378,9,7,1.61
5682,1378,10,7,1.63
5683,1378,11,7,1.62
5684,1378,12,7,1.61
5685,1378,13,7,1.61
5686,1378,14,7,1.6
5687,1378,15,7,1.59
5688,1378,16,7,1.58
5689,1378,17,7,1.57
5690,1378,18,7,1.56
5691,1378,19,7,1.56
5692,1378,20,7,1.55
5693,1378,21,7,1.54
5694,1378,22,7,1.53
5695,1378,23,7,1.52
5696,1378,24,7,1.51
5697,1378,25,7,1.51
5698,1378,26,7,1.5
5699,1378,27,7,1.49
5700,1378,28,7,1.48
5701,1378,29,7,1.47
5702,1378,30,7,1.47
5703,1378,31,7,
6572,1378,1,8,1.46
6573,1378,2,8,1.45
6574,1378,3,8,1.44
6575,1378,4,8,1.43
6576,1378,5,8,1.42
6577,1378,6,8,1.42
6578,1378,7,8,1.41
6579,1378,8,8,1.4
6580,1378,9,8,1.39
6581,1378,10,8,1.38
6582,1378,11,8,1.37
6583,1378,12,8,1.37
6584,1378,13,8,1.36
6585,1378,14,8,1.35
6586,1378,15,8,1.34
6587,1378,16,8,1.33
6588,1378,17,8,1.33
6589,1378,18,8,1.32
6590,1378,19,8,1.31
6591,1378,20,8,1.3
6592,1378,21,8,1.29
6593,1378,22,8,1.28
6594,1378,23,8,1.28
6595,1378,24,8,1.27
6596,1378,25,8,1.26
6597,1378,26,8,1.25
6598,1378,27,8,1.23
6599,1378,28,8,1.22
6600,1378,29,8,1.2
6601,1378,30,8,1.19
6602,1378,31,8,
7471,1378,1,9,1.18
7472,1378,2,9,1.16
7473,1378,3,9,1.15
7474,1378,4,9,1.13
7475,1378,5,9,1.12
7476,1378,6,9,1.11
7477,1378,7,9,1.09
7478,1378,8,9,1.08
7479,1378,9,9,1.06
7480,1378,10,9,1.05
7481,1378,11,9,1.05
7482,1378,12,9,1.05
7483,1378,13,9,1.06
7484,1378,14,9,1.06
7485,1378,15,9,1.06
7486,1378,16,9,1.06
7487,1378,17,9,1.06
7488,1378,18,9,1.07
7489,1378,19,9,1.07
7490,1378,20,9,1.07
7491,1378,21,9,1.07
7492,1378,22,9,1.08
7493,1378,23,9,1.08
7494,1378,24,9,1.08
7495,1378,25,9,1.08
7496,1378,26,9,1.08
7497,1378,27,9,1.09
7498,1378,28,9,1.09
7499,1378,29,9,1.09
7500,1378,30,9,1.09
7501,1378,31,9,
8370,1378,1,10,1.1
8371,1378,2,10,1.1
8372,1378,3,10,1.1
8373,1378,4,10,1.1
8374,1378,5,10,1.1
8375,1378,6,10,1.11
8376,1378,7,10,1.11
8377,1378,8,10,1.11
8378,1378,9,10,1.11
8379,1378,10,10,1.12
8380,1378,11,10,1.12
8381,1378,12,10,1.12
8382,1378,13,10,1.12
8383,1378,14,10,1.12
8384,1378,15,10,1.13
8385,1378,16,10,1.13
8386,1378,17,10,1.14
8387,1378,18,10,1.15
8388,1378,19,10,1.16
8389,1378,20,10,1.17
8390,1378,21,10,1.18
8391,1378,22,10,1.19
8392,1378,23,10,1.2
8393,1378,24,10,1.21
8394,1378,25,10,1.22
8395,1378,26,10,1.23
8396,1378,27,10,1.24
8397,1378,28,10,1.25
8398,1378,29,10,1.26
8399,1378,30,10,1.27
8400,1378,31,10,
9269,1378,1,11,1.28
9270,1378,2,11,1.29
9271,1378,3,11,1.3
9272,1378,4,11,1.31
9273,1378,5,11,1.32
9274,1378,6,11,1.33
9275,1378,7,11,1.34
9276,1378,8,11,1.35
9277,1378,9,11,1.36
9278,1378,10,11,1.37
9279,1378,11,11,1.38
9280,1378,12,11,1.39
9281,1378,13,11,1.4
9282,1378,14,11,1.41
9283,1378,15,11,1.42
9284,1378,16,11,1.43
9285,1378,17,11,1.44
9286,1378,18,11,1.45
9287,1378,19,11,1.46
9288,1378,20,11,1.47
9289,1378,21,11,1.48
9290,1378,22,11,1.49
9291,1378,23,11,1.5
9292,1378,24,11,1.51
9293,1378,25,11,1.52
9294,1378,26,11,1.55
9295,1378,27,11,1.59
9296,1378,28,11,1.62
9297,1378,29,11,1.66
9298,1378,30,11,1.69
9299,1378,31,11,
10168,1378,1,12,1.72
10169,1378,2,12,1.76
10170,1378,3,12,1.79
10171,1378,4,12,1.83
10172,1378,5,12,1.86
10173,1378,6,12,1.89
10174,1378,7,12,1.93
10175,1378,8,12,1.96
10176,1378,9,12,2.0
10177,1378,10,12,2.03
10178,1378,11,12,2.06
10179,1378,12,12,2.1
10180,1378,13,12,2.13
10181,1378,14,12,2.16
10182,1378,15,12,2.17
10183,1378,16,12,2.17
10184,1378,17,12,2.18
10185,1378,18,12,2.19
