,sal,rooz,Month,nazloo_Debi
12477,1329,16,7,1.7
12478,1329,17,7,1.7
12479,1329,18,7,1.6
12480,1329,19,7,1.6
12481,1329,20,7,1.6
12482,1329,21,7,1.7
12483,1329,22,7,1.7
12484,1329,23,7,1.6
12485,1329,24,7,1.7
12486,1329,25,7,1.7
12487,1329,26,7,1.7
12488,1329,27,7,1.6
12489,1329,28,7,1.7
12490,1329,29,7,2.0
12491,1329,30,7,4.4
12492,1329,31,7,
14539,1329,1,8,4.0
14540,1329,2,8,3.6
14541,1329,3,8,3.2
14542,1329,4,8,3.2
14543,1329,5,8,3.0
14544,1329,6,8,3.0
14545,1329,7,8,2.6
14546,1329,8,8,2.4
14547,1329,9,8,2.4
14548,1329,10,8,2.2
14549,1329,11,8,2.2
14550,1329,12,8,2.2
14551,1329,13,8,2.3
14552,1329,14,8,2.3
14553,1329,15,8,2.2
14554,1329,16,8,2.1
14555,1329,17,8,2.3
14556,1329,18,8,2.3
14557,1329,19,8,2.2
14558,1329,20,8,2.2
14559,1329,21,8,2.1
14560,1329,22,8,2.2
14561,1329,23,8,2.4
14562,1329,24,8,2.4
14563,1329,25,8,2.4
14564,1329,26,8,2.4
14565,1329,27,8,2.4
14566,1329,28,8,2.6
14567,1329,29,8,2.6
14568,1329,30,8,2.6
14569,1329,31,8,
16616,1329,1,9,2.6
16617,1329,2,9,3.0
16618,1329,3,9,3.0
16619,1329,4,9,3.0
16620,1329,5,9,3.0
16621,1329,6,9,3.0
16622,1329,7,9,3.0
16623,1329,8,9,2.6
16624,1329,9,9,3.0
16625,1329,10,9,3.0
16626,1329,11,9,2.6
16627,1329,12,9,3.0
16628,1329,13,9,3.0
16629,1329,14,9,3.0
16630,1329,15,9,3.0
16631,1329,16,9,3.0
16632,1329,17,9,3.0
16633,1329,18,9,3.0
16634,1329,19,9,3.0
16635,1329,20,9,3.0
16636,1329,21,9,3.0
16637,1329,22,9,2.6
16638,1329,23,9,2.6
16639,1329,24,9,2.6
16640,1329,25,9,2.6
16641,1329,26,9,2.6
16642,1329,27,9,2.6
16643,1329,28,9,2.6
16644,1329,29,9,2.6
16645,1329,30,9,2.6
16646,1329,31,9,
18693,1329,1,10,2.2
18694,1329,2,10,2.4
18695,1329,3,10,2.4
18696,1329,4,10,2.4
18697,1329,5,10,2.6
18698,1329,6,10,2.6
18699,1329,7,10,2.6
18700,1329,8,10,2.6
18701,1329,9,10,2.6
18702,1329,10,10,2.8
18703,1329,11,10,3.0
18704,1329,12,10,3.0
18705,1329,13,10,3.0
18706,1329,14,10,3.0
18707,1329,15,10,3.0
18708,1329,16,10,3.0
18709,1329,17,10,3.2
18710,1329,18,10,3.2
18711,1329,19,10,3.6
18712,1329,20,10,3.8
18713,1329,21,10,3.8
18714,1329,22,10,3.8
18715,1329,23,10,4.0
18716,1329,24,10,4.0
18717,1329,25,10,4.0
18718,1329,26,10,4.0
18719,1329,27,10,4.2
18720,1329,28,10,4.2
18721,1329,29,10,4.2
18722,1329,30,10,4.2
18723,1329,31,10,
20770,1329,1,11,4.2
20771,1329,2,11,4.2
20772,1329,3,11,4.3
20773,1329,4,11,3.6
20774,1329,5,11,3.0
20775,1329,6,11,2.8
20776,1329,7,11,2.4
20777,1329,8,11,2.4
20778,1329,9,11,2.4
20779,1329,10,11,2.4
20780,1329,11,11,2.6
20781,1329,12,11,2.6
20782,1329,13,11,2.8
20783,1329,14,11,2.6
20784,1329,15,11,2.6
20785,1329,16,11,2.8
20786,1329,17,11,2.8
20787,1329,18,11,2.8
20788,1329,19,11,2.8
20789,1329,20,11,2.6
20790,1329,21,11,2.6
20791,1329,22,11,2.6
20792,1329,23,11,2.8
20793,1329,24,11,2.6
20794,1329,25,11,2.6
20795,1329,26,11,2.6
20796,1329,27,11,2.8
20797,1329,28,11,2.8
20798,1329,29,11,2.8
20799,1329,30,11,3.6
20800,1329,31,11,
22847,1329,1,12,2.8
22848,1329,2,12,3.0
22849,1329,3,12,3.2
22850,1329,4,12,3.2
22851,1329,5,12,3.6
22852,1329,6,12,3.6
22853,1329,7,12,3.8
22854,1329,8,12,4.0
22855,1329,9,12,4.0
22856,1329,10,12,4.2
22857,1329,11,12,4.2
22858,1329,12,12,4.4
22859,1329,13,12,4.4
22860,1329,14,12,4.4
22861,1329,15,12,4.4
22862,1329,16,12,4.4
22863,1329,17,12,4.4
22864,1329,18,12,4.4
22865,1329,19,12,4.4
22866,1329,20,12,5.8
22867,1329,21,12,8.0
22868,1329,22,12,6.4
22869,1329,23,12,5.8
22870,1329,24,12,5.8
22871,1329,25,12,5.5
22872,1329,26,12,5.4
22873,1329,27,12,5.5
22874,1329,28,12,5.8
22875,1329,29,12,6.0
22876,1329,30,12,
22877,1329,31,12,
31,1330,1,1,10.0
32,1330,2,1,12.0
33,1330,3,1,13.0
34,1330,4,1,14.0
35,1330,5,1,14.0
36,1330,6,1,14.0
37,1330,7,1,17.0
38,1330,8,1,21.0
39,1330,9,1,26.0
40,1330,10,1,29.0
41,1330,11,1,32.0
42,1330,12,1,35.0
43,1330,13,1,37.0
44,1330,14,1,40.0
45,1330,15,1,40.0
46,1330,16,1,41.0
47,1330,17,1,41.0
48,1330,18,1,39.0
49,1330,19,1,39.0
50,1330,20,1,38.0
51,1330,21,1,37.0
52,1330,22,1,35.0
53,1330,23,1,38.0
54,1330,24,1,29.0
55,1330,25,1,30.0
56,1330,26,1,32.0
57,1330,27,1,22.0
58,1330,28,1,18.0
59,1330,29,1,18.0
60,1330,30,1,19.0
61,1330,31,1,23.0
2108,1330,1,2,20.0
2109,1330,2,2,23.0
2110,1330,3,2,26.0
2111,1330,4,2,28.0
2112,1330,5,2,29.0
2113,1330,6,2,29.0
2114,1330,7,2,24.0
2115,1330,8,2,21.0
2116,1330,9,2,22.0
2117,1330,10,2,46.0
2118,1330,11,2,49.0
2119,1330,12,2,43.0
2120,1330,13,2,39.0
2121,1330,14,2,38.0
2122,1330,15,2,39.0
2123,1330,16,2,41.0
2124,1330,17,2,43.0
2125,1330,18,2,44.0
2126,1330,19,2,44.0
2127,1330,20,2,45.0
2128,1330,21,2,42.0
2129,1330,22,2,38.0
2130,1330,23,2,39.0
2131,1330,24,2,38.0
2132,1330,25,2,41.0
2133,1330,26,2,44.0
2134,1330,27,2,44.0
2135,1330,28,2,41.0
2136,1330,29,2,41.0
2137,1330,30,2,44.0
2138,1330,31,2,43.0
4185,1330,1,3,41.0
4186,1330,2,3,37.0
4187,1330,3,3,35.0
4188,1330,4,3,35.0
4189,1330,5,3,34.0
4190,1330,6,3,33.0
4191,1330,7,3,33.0
4192,1330,8,3,32.0
4193,1330,9,3,32.0
4194,1330,10,3,27.0
4195,1330,11,3,26.0
4196,1330,12,3,25.0
4197,1330,13,3,25.0
4198,1330,14,3,25.0
4199,1330,15,3,25.0
4200,1330,16,3,25.0
4201,1330,17,3,24.0
4202,1330,18,3,23.0
4203,1330,19,3,23.0
4204,1330,20,3,24.0
4205,1330,21,3,25.0
4206,1330,22,3,24.0
4207,1330,23,3,18.0
4208,1330,24,3,18.0
4209,1330,25,3,17.0
4210,1330,26,3,15.0
4211,1330,27,3,14.0
4212,1330,28,3,15.0
4213,1330,29,3,18.0
4214,1330,30,3,16.0
4215,1330,31,3,15.0
6262,1330,1,4,15.0
6263,1330,2,4,15.0
6264,1330,3,4,14.0
6265,1330,4,4,14.0
6266,1330,5,4,13.0
6267,1330,6,4,13.0
6268,1330,7,4,12.0
6269,1330,8,4,12.0
6270,1330,9,4,12.0
6271,1330,10,4,11.0
6272,1330,11,4,12.0
6273,1330,12,4,11.0
6274,1330,13,4,11.0
6275,1330,14,4,11.0
6276,1330,15,4,10.0
6277,1330,16,4,10.0
6278,1330,17,4,10.0
6279,1330,18,4,9.2
6280,1330,19,4,9.2
6281,1330,20,4,8.8
6282,1330,21,4,8.2
6283,1330,22,4,7.8
6284,1330,23,4,7.8
6285,1330,24,4,7.5
6286,1330,25,4,7.3
6287,1330,26,4,7.3
6288,1330,27,4,7.0
6289,1330,28,4,7.0
6290,1330,29,4,7.0
6291,1330,30,4,6.7
6292,1330,31,4,6.7
8339,1330,1,5,6.7
8340,1330,2,5,6.4
8341,1330,3,5,6.4
8342,1330,4,5,6.1
8343,1330,5,5,5.8
8344,1330,6,5,5.8
8345,1330,7,5,5.6
8346,1330,8,5,5.4
8347,1330,9,5,4.8
8348,1330,10,5,4.2
8349,1330,11,5,3.8
8350,1330,12,5,3.6
8351,1330,13,5,3.3
8352,1330,14,5,3.2
8353,1330,15,5,2.8
8354,1330,16,5,2.5
8355,1330,17,5,2.5
8356,1330,18,5,2.4
8357,1330,19,5,2.4
8358,1330,20,5,2.4
8359,1330,21,5,2.3
8360,1330,22,5,2.2
8361,1330,23,5,2.3
8362,1330,24,5,2.4
8363,1330,25,5,2.5
8364,1330,26,5,2.5
8365,1330,27,5,2.4
8366,1330,28,5,2.4
8367,1330,29,5,2.4
