,sal,rooz,Month,zola_Debi
9765,1353,1,8,0.6
9766,1353,2,8,0.4
9767,1353,3,8,0.4
9768,1353,4,8,0.5
9769,1353,5,8,0.5
9770,1353,6,8,0.7
9771,1353,7,8,0.8
9772,1353,8,8,0.6
9773,1353,9,8,0.8
9774,1353,10,8,0.9
9775,1353,11,8,0.7
9776,1353,12,8,0.9
9777,1353,13,8,0.9
9778,1353,14,8,0.11
9779,1353,15,8,1.0
9780,1353,16,8,1.0
9781,1353,17,8,0.8
9782,1353,18,8,0.9
9783,1353,19,8,0.9
9784,1353,20,8,1.0
9785,1353,21,8,0.9
9786,1353,22,8,1.0
9787,1353,23,8,1.0
9788,1353,24,8,1.11
9789,1353,25,8,1.22
9790,1353,26,8,1.33
9791,1353,27,8,1.44
9792,1353,28,8,1.55
9793,1353,29,8,1.67
9794,1353,30,8,1.91
9795,1353,31,8,
11160,1353,1,9,1.91
11161,1353,2,9,2.03
11162,1353,3,9,2.03
11163,1353,4,9,2.15
11164,1353,5,9,2.15
11165,1353,6,9,2.15
11166,1353,7,9,2.15
11167,1353,8,9,2.15
11168,1353,9,9,2.15
11169,1353,10,9,2.28
11170,1353,11,9,2.41
11171,1353,12,9,2.15
11172,1353,13,9,2.41
11173,1353,14,9,2.41
11174,1353,15,9,2.54
11175,1353,16,9,2.41
11176,1353,17,9,2.28
11177,1353,18,9,2.28
11178,1353,19,9,2.28
11179,1353,20,9,2.28
11180,1353,21,9,2.15
11181,1353,22,9,2.28
11182,1353,23,9,2.15
11183,1353,24,9,2.03
11184,1353,25,9,2.15
11185,1353,26,9,2.15
11186,1353,27,9,2.03
11187,1353,28,9,1.91
11188,1353,29,9,2.03
11189,1353,30,9,2.15
11190,1353,31,9,
12555,1353,1,10,2.15
12556,1353,2,10,2.15
12557,1353,3,10,1.91
12558,1353,4,10,2.03
12559,1353,5,10,2.15
12560,1353,6,10,2.03
12561,1353,7,10,2.15
12562,1353,8,10,2.15
12563,1353,9,10,2.03
12564,1353,10,10,2.03
12565,1353,11,10,2.15
12566,1353,12,10,2.28
12567,1353,13,10,2.15
12568,1353,14,10,2.15
12569,1353,15,10,2.15
12570,1353,16,10,2.28
12571,1353,17,10,2.15
12572,1353,18,10,2.15
12573,1353,19,10,2.18
12574,1353,20,10,2.15
12575,1353,21,10,2.28
12576,1353,22,10,2.15
12577,1353,23,10,2.15
12578,1353,24,10,2.28
12579,1353,25,10,2.03
12580,1353,26,10,2.15
12581,1353,27,10,1.91
12582,1353,28,10,2.15
12583,1353,29,10,2.15
12584,1353,30,10,2.03
12585,1353,31,10,
13950,1353,1,11,2.15
13951,1353,2,11,2.03
13952,1353,3,11,2.15
13953,1353,4,11,2.15
13954,1353,5,11,2.15
13955,1353,6,11,2.15
13956,1353,7,11,2.28
13957,1353,8,11,2.15
13958,1353,9,11,2.15
13959,1353,10,11,2.15
13960,1353,11,11,2.15
13961,1353,12,11,2.15
13962,1353,13,11,2.15
13963,1353,14,11,2.15
13964,1353,15,11,2.15
