,sal,rooz,Month,golman_abShirin_EV
8013,1368,16,7,9.6
8014,1368,17,7,8.7
8015,1368,18,7,7.0
8016,1368,19,7,4.5
8017,1368,20,7,4.4
8018,1368,21,7,5.2
8019,1368,22,7,7.0
8020,1368,23,7,5.2
8021,1368,24,7,5.2
8022,1368,25,7,7.0
8023,1368,26,7,4.4
8024,1368,27,7,4.4
8025,1368,28,7,4.5
8026,1368,29,7,3.5
8027,1368,30,7,0.9
8028,1368,31,7,
9331,1368,1,8,3.5
9332,1368,2,8,4.4
9333,1368,3,8,1.7
9334,1368,4,8,2.6
9335,1368,5,8,0.9
9336,1368,6,8,0.9
9337,1368,7,8,0.5
9338,1368,8,8,3.9
9339,1368,9,8,1.1
9340,1368,10,8,1.7
9341,1368,11,8,1.7
9342,1368,12,8,2.2
9343,1368,13,8,2.6
9344,1368,14,8,1.7
9345,1368,15,8,1.7
9346,1368,16,8,0.9
9347,1368,17,8,0.9
9348,1368,18,8,
9349,1368,19,8,6.1
9350,1368,20,8,1.7
9351,1368,21,8,0.9
9352,1368,22,8,1.7
9353,1368,23,8,1.4
9354,1368,24,8,0.4
9355,1368,25,8,1.7
9356,1368,26,8,1.7
9357,1368,27,8,2.6
9358,1368,28,8,3.9
9359,1368,29,8,1.3
9360,1368,30,8,0.4
9361,1368,31,8,
10664,1368,1,9,2.6
10665,1368,2,9,3.5
10666,1368,3,9,0.9
10667,1368,4,9,1.7
10668,1368,5,9,1.7
10669,1368,6,9,3.5
10670,1368,7,9,5.2
10671,1368,8,9,1.7
10672,1368,9,9,1.9
10673,1368,10,9,0.6
10674,1368,11,9,2.2
10675,1368,12,9,0.5
10676,1368,13,9,
10677,1368,14,9,0.1
10678,1368,15,9,
10679,1368,16,9,0.4
10680,1368,17,9,
10681,1368,18,9,
10682,1368,19,9,2.2
10683,1368,20,9,0.3
10684,1368,21,9,1.3
10685,1368,22,9,1.7
10686,1368,23,9,1.3
10687,1368,24,9,1.3
10688,1368,25,9,
10689,1368,26,9,0.9
10690,1368,27,9,0.4
10691,1368,28,9,0.4
10692,1368,29,9,0.9
10693,1368,30,9,0.9
10694,1368,31,9,
11997,1368,1,10,
11998,1368,2,10,0.4
11999,1368,3,10,0.9
12000,1368,4,10,0.9
12001,1368,5,10,0.7
12002,1368,6,10,0.9
12003,1368,7,10,0.4
12004,1368,8,10,0.9
12005,1368,9,10,0.5
12006,1368,10,10,0.9
12007,1368,11,10,2.7
12008,1368,12,10,0.4
12009,1368,13,10,0.3
12010,1368,14,10,0.6
12011,1368,15,10,
12012,1368,16,10,
12013,1368,17,10,0.9
12014,1368,18,10,
12015,1368,19,10,0.4
12016,1368,20,10,0.1
12017,1368,21,10,0.1
12018,1368,22,10,0.1
12019,1368,23,10,0.1
12020,1368,24,10,0.1
12021,1368,25,10,0.1
12022,1368,26,10,0.1
12023,1368,27,10,0.1
12024,1368,28,10,0.1
12025,1368,29,10,0.1
12026,1368,30,10,0.1
12027,1368,31,10,
13330,1368,1,11,0.1
13331,1368,2,11,0.1
13332,1368,3,11,0.1
13333,1368,4,11,0.1
13334,1368,5,11,0.1
13335,1368,6,11,0.1
13336,1368,7,11,0.1
13337,1368,8,11,0.1
13338,1368,9,11,0.1
13339,1368,10,11,0.1
13340,1368,11,11,0.1
13341,1368,12,11,0.1
13342,1368,13,11,0.1
13343,1368,14,11,0.1
13344,1368,15,11,0.1
13345,1368,16,11,0.1
13346,1368,17,11,0.1
13347,1368,18,11,0.1
13348,1368,19,11,0.1
13349,1368,20,11,0.1
13350,1368,21,11,0.1
13351,1368,22,11,0.1
13352,1368,23,11,0.1
13353,1368,24,11,0.1
13354,1368,25,11,0.1
13355,1368,26,11,0.1
13356,1368,27,11,0.1
13357,1368,28,11,0.1
13358,1368,29,11,0.1
13359,1368,30,11,0.1
13360,1368,31,11,
14663,1368,1,12,0.1
14664,1368,2,12,0.1
14665,1368,3,12,0.1
14666,1368,4,12,0.1
14667,1368,5,12,0.1
14668,1368,6,12,0.1
14669,1368,7,12,0.1
14670,1368,8,12,0.1
14671,1368,9,12,0.1
14672,1368,10,12,0.1
14673,1368,11,12,0.1
14674,1368,12,12,0.9
14675,1368,13,12,1.3
14676,1368,14,12,1.3
14677,1368,15,12,0.6
14678,1368,16,12,
14679,1368,17,12,0.4
14680,1368,18,12,1.3
14681,1368,19,12,1.7
14682,1368,20,12,
14683,1368,21,12,
14684,1368,22,12,1.7
14685,1368,23,12,2.4
14686,1368,24,12,0.9
14687,1368,25,12,
14688,1368,26,12,
14689,1368,27,12,0.4
14690,1368,28,12,1.7
14691,1368,29,12,2.6
14692,1368,30,12,0.1
14693,1368,31,12,
31,1369,1,1,0.4
32,1369,2,1,1.4
33,1369,3,1,1.2
34,1369,4,1,1.0
35,1369,5,1,
36,1369,6,1,
37,1369,7,1,0.6
38,1369,8,1,0.1
39,1369,9,1,2.2
40,1369,10,1,2.2
41,1369,11,1,1.3
42,1369,12,1,2.9
43,1369,13,1,1.3
44,1369,14,1,1.4
45,1369,15,1,1.4
46,1369,16,1,1.3
47,1369,17,1,1.3
48,1369,18,1,1.3
49,1369,19,1,1.7
50,1369,20,1,2.5
51,1369,21,1,2.6
52,1369,22,1,3.1
53,1369,23,1,2.9
54,1369,24,1,0.6
55,1369,25,1,0.9
56,1369,26,1,0.9
57,1369,27,1,4.4
58,1369,28,1,5.2
59,1369,29,1,0.9
60,1369,30,1,2.8
61,1369,31,1,1.7
1364,1369,1,2,3.5
1365,1369,2,2,2.6
1366,1369,3,2,2.8
1367,1369,4,2,3.1
1368,1369,5,2,2.9
1369,1369,6,2,3.9
1370,1369,7,2,3.1
1371,1369,8,2,3.5
1372,1369,9,2,5.7
1373,1369,10,2,2.2
1374,1369,11,2,2.6
1375,1369,12,2,5.4
1376,1369,13,2,3.1
1377,1369,14,2,4.4
1378,1369,15,2,5.2
1379,1369,16,2,4.8
1380,1369,17,2,6.1
1381,1369,18,2,5.2
1382,1369,19,2,6.1
1383,1369,20,2,4.8
1384,1369,21,2,3.3
1385,1369,22,2,4.8
1386,1369,23,2,6.1
1387,1369,24,2,6.6
1388,1369,25,2,6.1
1389,1369,26,2,4.4
1390,1369,27,2,6.1
1391,1369,28,2,6.6
1392,1369,29,2,7.4
1393,1369,30,2,7.0
1394,1369,31,2,7.4
2697,1369,1,3,5.7
2698,1369,2,3,4.8
2699,1369,3,3,2.6
2700,1369,4,3,3.5
2701,1369,5,3,5.7
2702,1369,6,3,6.6
2703,1369,7,3,7.0
2704,1369,8,3,7.6
2705,1369,9,3,6.6
2706,1369,10,3,6.6
2707,1369,11,3,6.4
2708,1369,12,3,7.0
2709,1369,13,3,5.7
2710,1369,14,3,6.1
2711,1369,15,3,7.4
2712,1369,16,3,6.6
2713,1369,17,3,6.6
2714,1369,18,3,5.2
2715,1369,19,3,5.7
2716,1369,20,3,6.1
2717,1369,21,3,6.1
2718,1369,22,3,6.1
2719,1369,23,3,5.7
2720,1369,24,3,5.2
2721,1369,25,3,6.1
2722,1369,26,3,5.7
2723,1369,27,3,7.4
2724,1369,28,3,6.6
2725,1369,29,3,7.0
2726,1369,30,3,7.0
2727,1369,31,3,7.0
4030,1369,1,4,6.1
4031,1369,2,4,7.0
4032,1369,3,4,7.9
4033,1369,4,4,7.9
4034,1369,5,4,7.0
4035,1369,6,4,8.5
4036,1369,7,4,8.2
4037,1369,8,4,7.4
4038,1369,9,4,9.6
4039,1369,10,4,10.1
4040,1369,11,4,7.5
4041,1369,12,4,7.5
4042,1369,13,4,10.0
4043,1369,14,4,10.1
4044,1369,15,4,11.0
4045,1369,16,4,10.1
4046,1369,17,4,9.1
4047,1369,18,4,9.9
4048,1369,19,4,10.3
4049,1369,20,4,8.5
4050,1369,21,4,9.2
4051,1369,22,4,9.1
4052,1369,23,4,7.4
4053,1369,24,4,7.8
4054,1369,25,4,8.0
4055,1369,26,4,9.2
4056,1369,27,4,9.6
4057,1369,28,4,9.9
4058,1369,29,4,10.5
4059,1369,30,4,11.0
4060,1369,31,4,11.6
5363,1369,1,5,10.8
5364,1369,2,5,11.7
5365,1369,3,5,10.1
5366,1369,4,5,10.2
5367,1369,5,5,11.8
5368,1369,6,5,9.0
5369,1369,7,5,11.6
5370,1369,8,5,9.6
5371,1369,9,5,11.1
5372,1369,10,5,9.3
5373,1369,11,5,10.1
5374,1369,12,5,11.4
5375,1369,13,5,10.0
5376,1369,14,5,10.3
5377,1369,15,5,9.3
5378,1369,16,5,8.8
5379,1369,17,5,9.5
5380,1369,18,5,8.3
5381,1369,19,5,7.9
5382,1369,20,5,7.2
5383,1369,21,5,6.2
5384,1369,22,5,7.9
5385,1369,23,5,9.2
5386,1369,24,5,9.2
5387,1369,25,5,8.3
5388,1369,26,5,7.9
5389,1369,27,5,7.0
5390,1369,28,5,6.6
5391,1369,29,5,6.1
5392,1369,30,5,7.0
5393,1369,31,5,7.0
